Inf,-72.38,-85.56,-101.52,-65.52,-77.45,-90.70,-102.85;
-72.38,Inf,-70.19,-88.33,-74.30,-68.86,-77.90,-90.45;
-88.57,-73.20,Inf,-74.46,-87.53,-78.73,-68.45,-77.40;
-101.52,-88.33,-71.45,Inf,-99.89,-90.35,-78.84,-70.06;
-68.53,-77.31,-87.53,-102.90,Inf,-72.88,-88.43,-101.49;
-77.45,-68.86,-75.72,-90.35,-69.87,Inf,-74.43,-88.64;
-90.70,-77.90,-65.44,-78.84,-85.42,-74.43,Inf,-72.55;
-102.85,-90.45,-74.38,-70.06,-98.48,-88.64,-72.55,Inf
Inf,-72.38,-85.56,-101.52,-65.52,-77.45,-90.70,-102.85;
-72.38,Inf,-70.19,-88.33,-74.30,-68.86,-77.90,-90.45;
-88.57,-73.20,Inf,-74.46,-87.53,-78.73,-68.45,-77.40;
-101.52,-88.33,-71.45,Inf,-99.89,-90.35,-78.84,-70.06;
-68.53,-77.31,-87.53,-102.90,Inf,-72.88,-88.43,-101.49;
-77.45,-68.86,-75.72,-90.35,-69.87,Inf,-74.43,-88.64;
-90.70,-77.90,-65.44,-78.84,-85.42,-74.43,Inf,-72.55;
-102.85,-90.45,-74.38,-70.06,-98.48,-88.64,-72.55,Inf
Inf,-72.38,-85.56,-101.52,-65.52,-77.45,-90.70,-102.85;
-72.38,Inf,-70.19,-88.33,-74.30,-68.86,-77.90,-90.45;
-88.57,-73.20,Inf,-74.46,-87.53,-78.73,-68.45,-77.40;
-101.52,-88.33,-71.45,Inf,-99.89,-90.35,-78.84,-70.06;
-68.53,-77.31,-87.53,-102.90,Inf,-72.88,-88.43,-101.49;
-77.45,-68.86,-75.72,-90.35,-69.87,Inf,-74.43,-88.64;
-90.70,-77.90,-65.44,-78.84,-85.42,-74.43,Inf,-72.55;
-102.85,-90.45,-74.38,-70.06,-98.48,-88.64,-72.55,Inf
Inf,-72.38,-85.56,-101.52,-65.52,-77.45,-90.70,-102.85;
-72.38,Inf,-70.19,-88.33,-74.30,-68.86,-77.90,-90.45;
-88.57,-73.20,Inf,-74.46,-87.53,-78.73,-68.45,-77.40;
-101.52,-88.33,-71.45,Inf,-99.89,-90.35,-78.84,-70.06;
-68.53,-77.31,-87.53,-102.90,Inf,-72.88,-88.43,-101.49;
-77.45,-68.86,-75.72,-90.35,-69.87,Inf,-74.43,-88.64;
-90.70,-77.90,-65.44,-78.84,-85.42,-74.43,Inf,-72.55;
-102.85,-90.45,-74.38,-70.06,-98.48,-88.64,-72.55,Inf
Inf,-72.38,-85.56,-101.52,-65.52,-77.45,-90.70,-102.85;
-72.38,Inf,-70.19,-88.33,-74.30,-68.86,-77.90,-90.45;
-88.57,-73.20,Inf,-74.46,-87.53,-78.73,-68.45,-77.40;
-101.52,-88.33,-71.45,Inf,-99.89,-90.35,-78.84,-70.06;
-68.53,-77.31,-87.53,-102.90,Inf,-72.88,-88.43,-101.49;
-77.45,-68.86,-75.72,-90.35,-69.87,Inf,-74.43,-88.64;
-90.70,-77.90,-65.44,-78.84,-85.42,-74.43,Inf,-72.55;
-102.85,-90.45,-74.38,-70.06,-98.48,-88.64,-72.55,Inf
