Inf,-73.82,-85.55,-101.54,-68.57,-77.29,-90.38,-102.79;
-73.82,Inf,-69.43,-88.35,-77.89,-70.37,-78.89,-91.12;
-88.56,-72.44,Inf,-72.49,-90.51,-77.92,-70.56,-78.32;
-101.54,-88.35,-69.48,Inf,-102.80,-90.48,-77.89,-69.50;
-68.57,-77.89,-87.50,-102.80,Inf,-72.45,-88.34,-101.53;
-77.29,-70.37,-74.91,-90.48,-72.45,Inf,-72.48,-88.23;
-90.38,-78.89,-67.55,-77.89,-88.34,-72.48,Inf,-72.37;
-102.79,-91.12,-75.31,-69.50,-101.53,-88.23,-72.37,Inf
Inf,-73.82,-85.55,-101.54,-68.57,-77.29,-90.38,-102.79;
-73.82,Inf,-69.43,-88.35,-77.89,-70.37,-78.89,-91.12;
-88.56,-72.44,Inf,-72.49,-90.51,-77.92,-70.56,-78.32;
-101.54,-88.35,-69.48,Inf,-102.80,-90.48,-77.89,-69.50;
-68.57,-77.89,-87.50,-102.80,Inf,-72.45,-88.34,-101.53;
-77.29,-70.37,-74.91,-90.48,-72.45,Inf,-72.48,-88.23;
-90.38,-78.89,-67.55,-77.89,-88.34,-72.48,Inf,-72.37;
-102.79,-91.12,-75.31,-69.50,-101.53,-88.23,-72.37,Inf
Inf,-73.82,-85.55,-101.54,-68.57,-77.29,-90.38,-102.79;
-73.82,Inf,-69.43,-88.35,-77.89,-70.37,-78.89,-91.12;
-88.56,-72.44,Inf,-72.49,-90.51,-77.92,-70.56,-78.32;
-101.54,-88.35,-69.48,Inf,-102.80,-90.48,-77.89,-69.50;
-68.57,-77.89,-87.50,-102.80,Inf,-72.45,-88.34,-101.53;
-77.29,-70.37,-74.91,-90.48,-72.45,Inf,-72.48,-88.23;
-90.38,-78.89,-67.55,-77.89,-88.34,-72.48,Inf,-72.37;
-102.79,-91.12,-75.31,-69.50,-101.53,-88.23,-72.37,Inf
Inf,-73.82,-85.55,-101.54,-68.57,-77.29,-90.38,-102.79;
-73.82,Inf,-69.43,-88.35,-77.89,-70.37,-78.89,-91.12;
-88.56,-72.44,Inf,-72.49,-90.51,-77.92,-70.56,-78.32;
-101.54,-88.35,-69.48,Inf,-102.80,-90.48,-77.89,-69.50;
-68.57,-77.89,-87.50,-102.80,Inf,-72.45,-88.34,-101.53;
-77.29,-70.37,-74.91,-90.48,-72.45,Inf,-72.48,-88.23;
-90.38,-78.89,-67.55,-77.89,-88.34,-72.48,Inf,-72.37;
-102.79,-91.12,-75.31,-69.50,-101.53,-88.23,-72.37,Inf
Inf,-73.82,-85.55,-101.54,-68.57,-77.29,-90.38,-102.79;
-73.82,Inf,-69.43,-88.35,-77.89,-70.37,-78.89,-91.12;
-88.56,-72.44,Inf,-72.49,-90.51,-77.92,-70.56,-78.32;
-101.54,-88.35,-69.48,Inf,-102.80,-90.48,-77.89,-69.50;
-68.57,-77.89,-87.50,-102.80,Inf,-72.45,-88.34,-101.53;
-77.29,-70.37,-74.91,-90.48,-72.45,Inf,-72.48,-88.23;
-90.38,-78.89,-67.55,-77.89,-88.34,-72.48,Inf,-72.37;
-102.79,-91.12,-75.31,-69.50,-101.53,-88.23,-72.37,Inf
