Inf,-76.05,-85.87,-101.84,-68.46,-80.92,-87.65,-105.80;
-76.05,Inf,-69.63,-88.29,-77.68,-71.48,-74.29,-93.79;
-91.89,-75.65,Inf,-72.37,-90.90,-80.40,-65.65,-82.07;
-104.85,-91.30,-69.36,Inf,-103.10,-93.40,-74.37,-74.59;
-71.47,-80.69,-87.89,-103.10,Inf,-76.14,-85.48,-104.50;
-80.92,-71.48,-74.38,-90.39,-73.13,Inf,-69.36,-91.80;
-93.67,-80.31,-65.65,-77.38,-88.49,-75.38,Inf,-76.85;
-105.80,-93.79,-76.05,-71.58,-101.49,-91.80,-70.83,Inf
Inf,-76.05,-85.87,-101.84,-68.46,-80.92,-87.65,-105.80;
-76.05,Inf,-69.63,-88.29,-77.68,-71.48,-74.29,-93.79;
-91.89,-75.65,Inf,-72.37,-90.90,-80.40,-65.65,-82.07;
-104.85,-91.30,-69.36,Inf,-103.10,-93.40,-74.37,-74.59;
-71.47,-80.69,-87.89,-103.10,Inf,-76.14,-85.48,-104.50;
-80.92,-71.48,-74.38,-90.39,-73.13,Inf,-69.36,-91.80;
-93.67,-80.31,-65.65,-77.38,-88.49,-75.38,Inf,-76.85;
-105.80,-93.79,-76.05,-71.58,-101.49,-91.80,-70.83,Inf
Inf,-76.05,-85.87,-101.84,-68.46,-80.92,-87.65,-105.80;
-76.05,Inf,-69.63,-88.29,-77.68,-71.48,-74.29,-93.79;
-91.89,-75.65,Inf,-72.37,-90.90,-80.40,-65.65,-82.07;
-104.85,-91.30,-69.36,Inf,-103.10,-93.40,-74.37,-74.59;
-71.47,-80.69,-87.89,-103.10,Inf,-76.14,-85.48,-104.50;
-80.92,-71.48,-74.38,-90.39,-73.13,Inf,-69.36,-91.80;
-93.67,-80.31,-65.65,-77.38,-88.49,-75.38,Inf,-76.85;
-105.80,-93.79,-76.05,-71.58,-101.49,-91.80,-70.83,Inf
Inf,-76.05,-85.87,-101.84,-68.46,-80.92,-87.65,-105.80;
-76.05,Inf,-69.63,-88.29,-77.68,-71.48,-74.29,-93.79;
-91.89,-75.65,Inf,-72.37,-90.90,-80.40,-65.65,-82.07;
-104.85,-91.30,-69.36,Inf,-103.10,-93.40,-74.37,-74.59;
-71.47,-80.69,-87.89,-103.10,Inf,-76.14,-85.48,-104.50;
-80.92,-71.48,-74.38,-90.39,-73.13,Inf,-69.36,-91.80;
-93.67,-80.31,-65.65,-77.38,-88.49,-75.38,Inf,-76.85;
-105.80,-93.79,-76.05,-71.58,-101.49,-91.80,-70.83,Inf
Inf,-76.05,-85.87,-101.84,-68.46,-80.92,-87.65,-105.80;
-76.05,Inf,-69.63,-88.29,-77.68,-71.48,-74.29,-93.79;
-91.89,-75.65,Inf,-72.37,-90.90,-80.40,-65.65,-82.07;
-104.85,-91.30,-69.36,Inf,-103.10,-93.40,-74.37,-74.59;
-71.47,-80.69,-87.89,-103.10,Inf,-76.14,-85.48,-104.50;
-80.92,-71.48,-74.38,-90.39,-73.13,Inf,-69.36,-91.80;
-93.67,-80.31,-65.65,-77.38,-88.49,-75.38,Inf,-76.85;
-105.80,-93.79,-76.05,-71.58,-101.49,-91.80,-70.83,Inf
